"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Code\Tourney\src\Create.css", "CSS", 0, 5, 0, 1, 6
"c:\Code\Tourney\src\Create.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Code\Tourney\src\Game.css", "CSS", 0, 37, -1, 11, 47
"c:\Code\Tourney\src\Game.js", "JavaScript", 10, 0, 3, -8, 5
"c:\Code\Tourney\src\Host.js", "JavaScript", 31, 0, -3, 1, 29
"c:\Code\Tourney\src\Made.css", "CSS", 0, 14, 0, 3, 17
"c:\Code\Tourney\src\Made.js", "JavaScript", 5, 0, 0, 1, 6
"c:\Code\Tourney\src\Menu.js", "JavaScript", 18, 0, -1, 3, 20
"c:\Code\Tourney\src\PreHost.css", "CSS", 0, 25, -3, 7, 29
"c:\Code\Tourney\src\PreHost.js", "JavaScript", 14, 0, 0, -4, 10
"c:\Code\Tourney\src\Question.js", "JavaScript", 65, 0, 0, 24, 89
"c:\Code\Tourney\src\RankTable.js", "JavaScript", 40, 0, 4, 12, 56
"c:\Code\Tourney\src\Ranking.js", "JavaScript", 9, 0, 3, 8, 20
"c:\Code\Tourney\src\app.css", "CSS", 0, 57, 3, 19, 79
"c:\Code\Tourney\src\bracket.js", "JavaScript", 0, 0, 0, -6, -6
"c:\Code\Tourney\src\firebase.js", "JavaScript", -1, 0, 12, 6, 17
"Total", "-", 192, 138, 17, 78, 425
