"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Code\Tourney\src\Answer.css", "CSS", 13, 0, 0, 1, 14
"c:\Code\Tourney\src\Answer.js", "JavaScript", 0, 36, 0, 6, 42
"c:\Code\Tourney\src\Game.js", "JavaScript", 0, -7, 0, -2, -9
"c:\Code\Tourney\src\Host.js", "JavaScript", 0, 22, 0, 3, 25
"c:\Code\Tourney\src\Matchups.js", "JavaScript", 0, 0, 0, -3, -3
"c:\Code\Tourney\src\PostQ.css", "CSS", 4, 0, 0, 2, 6
"c:\Code\Tourney\src\PostQ.js", "JavaScript", 0, 5, 0, 3, 8
"c:\Code\Tourney\src\Question.js", "JavaScript", 0, -1, 8, 1, 8
"c:\Code\Tourney\src\Ranking.js", "JavaScript", 0, 24, -2, -2, 20
"c:\Code\Tourney\src\index.js", "JavaScript", 0, 2, 0, 1, 3
"Total", "-", 17, 81, 6, 10, 114
